ID_BARRAGEM	MINERIO PRINCIPAL	ALTURA ATUAL (m)	VOLUME ATUAL (m3)	METODO CONSTRUTIVO	CATEGORIA DE RISCO	DANO POTENCIAL ASSOCIADO	CLASSE
470	Minerio de Cobre	5	79459	Alteamento a jusante			
471	Minerio de Cobre	5	80000	Alteamento a jusante			
472	Minerio de Cobre	0	255131	Indefinido			
473	Minerio de Cobre	0	0	Indefinido			
474	Granulito Gnaisse	2	3000	Indefinido			
475	Vermiculita	13,65	70000	Alteamento a jusante			
476	Sedimento	14,8	0	Etapa unica			
477	Argila	6	600	Etapa unica			
478	Areia Quartzosa	5	3000	Indefinido			
479	Argila	0	832598,77	Indefinido			
480	Saibro	2	9000	Indefinido			
481	Minerio de Ferro	12	0,01	Etapa unica			
482	Minerio de Ferro	8,14	8400	Alteamento a jusante			
483	Minerio de Ferro	10	15412,7	Alteamento a jusante			
484	Minerio de Ferro	13	300	Etapa unica			
485	Minerio de Ferro	11,8	92434	Alteamento por linha de centro			
486	Minerio de Ferro	14,5	2935	Etapa unica			
487	Minerio de Ferro	9	1000	Alteamento a montante ou desconhecido			
488	Minerio de Ferro	7	500	Etapa unica			
489	Minerio de Ferro	7	5000	Etapa unica			
490	Minerio de Ferro	7	2200	Etapa unica			
491	Minerio de Ferro	5	2200	Etapa unica			
492	Minerio de Ferro	12	12000	Etapa unica			
493	Minerio de Ferro	8	3500	Etapa unica			
494	Dolomito	5	3480	Etapa unica			
495	Dolomito	6	1000	Etapa unica			
496	Agalmatolito	2	3660	Indefinido			
497	Agalmatolito	2,25	5700	Indefinido			
498	Agalmatolito	2	1570	Indefinido			
499	Minerio de Ferro	3,6	612,23	Etapa unica			
500	Argila Refrataria	2	7300	Etapa unica			
501	Minerio de Niobio	14,3	108377,16	Alteamento a jusante			
502	Sedimento	8	12000	Etapa unica			
503	Sedimento	2	14000	Etapa unica			
504	Minerio de Ferro	3	3420	Etapa unica			
505	Minerio de Ferro	3	5480	Etapa unica			
506	Minerio de Ferro	7	4078	Etapa unica			
507	Minerio de Ferro	4	3600	Etapa unica			
508	Minerio de Ferro	4	2640	Etapa unica			
509	Minerio de Ferro	7	7063	Etapa unica			
510	Minerio de Ferro	6	6435	Etapa unica			
511	Minerio de Ferro	6	3833	Etapa unica			
512	Argila	8	18113	Etapa unica			
513	Areia	4	10200	Etapa unica			
514	Sedimento	8	90000	Etapa unica			
515	Minerio de Ferro	8	61000	Etapa unica			
516	Minerio de Ferro	14	108879	Etapa unica			
517	Argila Arenosa	10	20000	Etapa unica			
518	Areia	7	14200	Etapa unica			
519	Argila Arenosa	4,46	14000	Etapa unica			
520	Minerio de Ferro	8	28000	Etapa unica			
521	Minerio de Ferro	5	30000	Etapa unica			
522	Sedimento	9	20000	Etapa unica			
523	Cascalho	8	210000	Etapa unica			
524	Sedimento	7	2500	Etapa unica			
525	Cascalho	2,88	12000	Etapa unica			
526	Argila	2	4600	Etapa unica			
527	Argila	2	4300	Etapa unica			
528	Argila	2	4600	Etapa unica			
529	Argila Refrataria	2	7100	Etapa unica			
530	Argila	2	4900	Etapa unica			
531	Argila Refrataria	2	4900	Etapa unica			
532	Argila Refrataria	2	3900	Etapa unica			
